CardID,CustomerID,CardNumber,CardType,CVV,ExpiryDate,Limit,Status
1,832,6.01102E+15,Visa,520,10/13/2026,10763.25,Active
2,478,3.77232E+14,Amex,503,1/12/2030,8542.88,Blocked
3,483,3.5954E+15,Amex,552,4/10/2028,13040.45,Active
4,396,4.62179E+15,Amex,183,1/3/2028,6276.67,Blocked
5,680,4.28854E+15,Visa,375,7/22/2026,10489.21,Blocked
6,905,4.1323E+15,Amex,791,9/20/2029,8387.86,Active
7,106,1.80005E+14,MasterCard,441,9/4/2026,10106.88,Blocked
8,904,5.55748E+15,Amex,463,8/31/2027,13894.11,Active
9,923,3.53932E+15,Amex,487,5/20/2027,8154.03,Blocked
10,2,4.94374E+15,Visa,646,5/14/2028,14152.75,Active
11,118,3.57727E+15,MasterCard,527,4/19/2027,1761.59,Active
12,423,3.41548E+14,Amex,168,3/28/2028,5176.81,Blocked
13,901,4.26921E+15,Visa,496,8/21/2027,3850.22,Active
14,531,4.45102E+15,Amex,364,1/22/2027,13575.56,Active
15,466,6.75948E+11,Visa,723,6/5/2030,6629.56,Active
16,616,4.48861E+12,MasterCard,604,7/5/2028,8703.75,Blocked
17,853,3.46806E+14,MasterCard,50,8/11/2027,12794.26,Blocked
18,771,6.53196E+15,Visa,548,5/5/2028,10247.19,Active
19,469,3.53362E+15,Visa,471,11/19/2027,8228.76,Blocked
20,975,2.13169E+14,Amex,658,4/7/2030,3573.91,Blocked
21,647,4.16144E+18,MasterCard,93,5/11/2029,2243.44,Blocked
22,553,4.98471E+15,Visa,494,1/5/2028,6921.75,Active
23,737,4.15447E+12,Amex,706,12/19/2027,13383.82,Blocked
24,880,3.03363E+13,Visa,744,6/13/2030,3400.87,Blocked
25,416,4.26912E+12,MasterCard,935,6/18/2030,2854.04,Active
26,544,6.54728E+15,Visa,878,9/15/2029,12769.41,Active
27,640,5.2222E+15,Visa,5931,3/14/2027,7388.05,Active
28,945,3.7847E+14,MasterCard,790,12/23/2029,3724.66,Blocked
29,288,6.01125E+15,MasterCard,278,3/15/2028,4056.79,Blocked
30,646,2.13114E+14,Amex,365,4/24/2028,3574.33,Blocked
31,343,3.50146E+15,Amex,702,5/16/2028,10526.54,Blocked
32,922,4.42862E+12,Visa,523,9/10/2026,2137.12,Active
33,754,4.6922E+18,Amex,325,4/23/2027,5133.29,Active
34,306,4.687E+12,Visa,209,4/15/2029,10206.81,Blocked
35,221,4.22225E+15,MasterCard,320,6/4/2028,9353.39,Active
36,962,3.71497E+14,Visa,6529,7/27/2027,14395.54,Blocked
37,373,1.80044E+14,Visa,387,12/23/2027,1125.37,Blocked
38,584,2.13107E+14,MasterCard,586,1/14/2030,6670.97,Active
39,256,4.32097E+12,Amex,1317,7/11/2028,6274.12,Blocked
40,1,4.11802E+12,Visa,134,1/9/2027,13856.07,Blocked
41,249,6.56696E+15,MasterCard,603,8/5/2029,5455.43,Blocked
42,44,3.03893E+13,MasterCard,616,6/8/2028,5968.04,Blocked
43,262,3.51445E+15,Amex,268,12/13/2028,11554.59,Blocked
44,809,4.89998E+12,MasterCard,352,9/7/2029,11904.38,Blocked
45,696,1.80004E+14,Visa,634,7/15/2027,14592.56,Blocked
46,847,3.88011E+13,Amex,6145,12/29/2028,4807.68,Active
47,122,4.29403E+18,MasterCard,268,4/19/2030,13239.9,Blocked
48,511,3.53099E+15,Visa,552,7/11/2029,8248.79,Blocked
49,962,1.80004E+14,Amex,7506,2/17/2028,6600.92,Active
