CardID,CustomerID,CardNumber,CardType,CVV,ExpiryDate,Limit,Status
1,1,213104331987720,Discover,958,2029-07-16,3264.9,Active
2,2,639083674296,AmEx,430,2029-02-16,19009.07,Expired
3,2,379238545873167,MasterCard,353,2030-06-06,9928.32,Active
4,5,346515591807979,MasterCard,773,2030-06-17,14605.55,Blocked
5,6,6011176608379881,MasterCard,249,2029-07-15,11196.31,Active
6,6,060415633175,Visa,613,2028-07-06,13455.79,Blocked
7,7,675939861919,Discover,601,2028-03-16,3637.91,Blocked
8,9,180093391653125,MasterCard,153,2028-06-22,15238.44,Expired
9,10,4017907182380548719,Discover,693,2027-06-25,7527.41,Blocked
10,11,30269451250729,Visa,123,2027-08-22,5552.37,Active
11,12,340419480252890,AmEx,982,2026-10-02,9816.41,Expired
12,12,4705015853583169383,Visa,809,2028-10-06,9807.28,Active
13,14,6011420597651037,AmEx,543,2028-06-14,7766.57,Blocked
14,14,213106550468860,MasterCard,058,2029-07-20,5464.85,Blocked
15,18,3586938495650951,AmEx,988,2028-08-10,9760.17,Expired
16,18,4498232407668664,MasterCard,663,2028-09-23,15400.27,Blocked
17,19,4690981286934508,AmEx,336,2029-10-01,561.79,Expired
18,19,3522027575934977,Discover,639,2027-01-11,6438.18,Blocked
19,20,213132470444294,MasterCard,796,2027-10-12,6021.7,Blocked
20,20,4983287688892909432,AmEx,224,2028-01-28,16796.83,Expired
21,22,4831800810221408,Discover,567,2028-10-27,16099.67,Active
22,23,2241109464438724,MasterCard,123,2026-08-03,18944.39,Blocked
23,23,4130593814142630001,Discover,000,2027-05-06,18011.94,Blocked
24,26,675922818785,AmEx,699,2029-05-18,3796.76,Blocked
25,27,3528664411142581,Visa,646,2026-10-07,12870.48,Active
26,28,503801888929,MasterCard,940,2026-12-20,15923.14,Blocked
27,29,3529355712240948,MasterCard,613,2026-07-03,6827.11,Active
28,30,2656297698401747,AmEx,326,2028-04-15,1748.59,Blocked
29,30,213120156246562,Discover,028,2028-03-17,10418.72,Active
30,32,4278550061149004693,MasterCard,144,2029-08-12,18551.35,Active
31,32,4422241064373626,Visa,081,2026-11-07,686.89,Expired
32,33,3504957179005505,AmEx,242,2027-02-28,4853.25,Expired
33,33,38167876311849,AmEx,554,2027-04-05,1592.73,Expired
34,36,4231050686830912566,MasterCard,600,2027-03-18,17670.43,Expired
35,37,345174238137670,AmEx,435,2027-08-26,15274.34,Blocked
36,37,30485497636172,MasterCard,383,2027-04-25,8696.51,Expired
37,38,4123951086153614,Discover,876,2026-09-12,3407.94,Active
38,39,30405463455415,Discover,400,2029-04-07,2494.28,Active
39,40,213137110617811,MasterCard,990,2027-11-06,5154.48,Blocked
40,40,375076576615253,Discover,451,2027-04-07,13528.24,Expired
41,41,4975102365154977,Discover,117,2028-12-28,19629.76,Blocked
42,42,4976544592845472,MasterCard,395,2026-09-17,19217.77,Active
43,42,3529556026235223,MasterCard,564,2028-01-11,2018.93,Expired
44,43,5445341221247414,Discover,879,2029-07-26,11665.56,Expired
45,44,4574401790341992,AmEx,493,2029-05-23,10452.45,Blocked
46,45,4340126444302867044,AmEx,186,2030-04-20,7613.17,Expired
47,45,6011561341369507,AmEx,858,2027-05-10,16071.74,Active
48,46,6569799924573691,Visa,550,2028-06-10,15927.28,Expired
49,47,349075553603574,Visa,548,2026-09-17,16610.07,Active
50,48,3558582019128757,MasterCard,461,2026-07-17,1399.1,Blocked
51,48,2224440813365693,Visa,210,2027-02-15,7418.04,Active
52,49,4193563811446,Discover,096,2026-08-24,3413.04,Active
53,49,213198293256637,Visa,641,2027-01-21,11574.7,Blocked
54,50,4681423930417920,AmEx,486,2026-08-24,5304.57,Blocked
55,50,4503748134938784,Discover,037,2027-11-17,6642.73,Expired
56,51,213151203200575,Visa,111,2030-02-01,9400.35,Active
57,51,4521477349179558,Discover,436,2027-02-01,4827.96,Expired
58,52,584246277480,Visa,554,2028-02-10,8777.04,Blocked
59,52,4520457985981484,AmEx,793,2026-11-01,19226.44,Expired
60,56,3536464589718456,Visa,491,2028-01-08,9747.69,Expired
61,57,213108672588138,AmEx,266,2027-04-08,14259.02,Expired
62,57,4972291840678582860,MasterCard,029,2029-11-19,12272.14,Expired
63,58,4894510816601073,AmEx,051,2028-12-02,6026.87,Expired
64,59,3546293330461316,AmEx,252,2027-01-17,11785.6,Blocked
65,60,180039982901340,Discover,442,2029-06-18,4950.54,Blocked
66,61,213175946185942,Discover,240,2029-12-15,16056.91,Active
67,62,30580793332391,Discover,874,2027-04-15,17547.37,Active
68,62,213181534197687,Discover,774,2029-12-12,16189.01,Blocked
69,63,2282407884275233,Visa,090,2028-02-03,575.18,Active
70,63,36122190309880,Discover,515,2028-02-13,3113.06,Active
71,64,3581777466510595,Visa,123,2026-12-28,10707.79,Expired
72,66,38128754969934,MasterCard,657,2028-07-24,11721.86,Blocked
73,66,3517583338764967,MasterCard,339,2027-04-09,12456.42,Blocked
74,67,6556281085372283,MasterCard,734,2026-08-18,11382.39,Active
75,67,377769354782331,MasterCard,745,2027-05-26,19941.62,Active
76,68,4143990812406660,MasterCard,573,2028-05-06,1797.29,Expired
77,68,180033393109395,AmEx,995,2029-12-13,12796.54,Active
78,70,4412794307952,MasterCard,523,2027-07-06,6154.42,Active
79,71,3597267781497167,Discover,342,2030-02-18,6882.87,Blocked
80,71,4255573582285904,Visa,946,2030-05-18,11076.3,Blocked
81,73,676381731253,Discover,788,2029-06-16,18364.95,Active
82,73,2270188565101369,MasterCard,872,2026-12-28,2580.62,Expired
