EmployeeID,BranchID,FullName,Position,Department,Salary,HireDate,Status
1,4,Jesus Simpson MD,Auditor,Finance,554.64,2021-05-30,Active
2,11,Ian Vang,Security Officer,Customer Service,1615.2,2024-04-15,Terminated
3,18,Steven Kent,Manager,IT,1440.87,2022-08-06,Inactive
4,1,Ricky Mccann,Clerk,IT,964.27,2024-07-10,Inactive
5,3,Stephen Jensen,Manager,Operations,1244.56,2023-03-21,Terminated
6,8,Cynthia Bradley,Manager,HR,970.73,2021-07-31,Terminated
7,7,Jennifer Summers,Analyst,Finance,1685.44,2025-05-30,Terminated
8,15,Patricia Williams,Security Officer,Finance,1645.37,2020-10-15,Inactive
9,2,Christopher Nichols,Auditor,IT,2676.14,2016-09-21,Terminated
10,12,Stephen Pacheco,Security Officer,Customer Service,2158.42,2017-06-12,Active
11,14,Michael Johnson,Teller,Operations,490.54,2018-12-24,Inactive
12,15,Keith Mata,Customer Support,Operations,1700.79,2020-06-15,Inactive
13,15,Peter Schmidt,Auditor,Legal,2798.55,2021-09-01,Inactive
14,15,Karen Hubbard,Security Officer,Compliance,2202.0,2020-09-20,Inactive
15,9,Tammy Allen,Manager,Compliance,724.42,2016-07-27,Terminated
16,15,Zachary Garcia,Security Officer,HR,2219.76,2019-08-21,Active
17,6,Patrick Andrews II,Customer Support,Operations,2027.99,2015-10-28,Terminated
18,2,Zachary Robinson,Teller,HR,2247.84,2025-01-03,Inactive
19,20,Angela Ford,Manager,IT,430.27,2018-09-28,Inactive
20,19,Amy Chambers,Analyst,Operations,1248.6,2021-12-07,Inactive
21,7,Michelle Gould,Clerk,HR,993.25,2015-08-06,Inactive
22,13,Craig Lopez,Teller,Legal,2100.59,2019-08-30,Terminated
23,16,Eric Rollins,Customer Support,Legal,620.98,2017-04-28,Inactive
24,2,Theresa Lozano,Security Officer,Finance,341.31,2015-12-23,Active
25,14,Mark Ward,Security Officer,Compliance,478.09,2019-12-10,Inactive
26,5,Jonathan Booth,Analyst,IT,1989.1,2024-12-01,Terminated
27,6,Gabriel James,Clerk,Legal,2414.49,2018-08-14,Terminated
28,20,Michelle Brown,Teller,IT,1909.77,2016-03-08,Active
29,15,Jose Lee,Teller,Finance,2573.26,2023-02-03,Terminated
30,10,Michael Perez,Clerk,Legal,2914.25,2017-09-30,Terminated
31,17,Jeffrey Smith,Clerk,Operations,2406.75,2024-04-15,Inactive
32,9,Zachary Kline,Manager,HR,552.64,2018-04-04,Inactive
33,1,Robert Lee,Clerk,IT,1058.93,2015-09-07,Terminated
34,18,Amber Mckay,Teller,Compliance,312.89,2017-05-31,Terminated
35,2,Jenna Blankenship,Auditor,Legal,2503.16,2017-12-30,Active
36,6,Eric Williams,Analyst,Finance,1919.68,2018-04-28,Terminated
37,5,Kimberly Dunlap,Teller,HR,2023.7,2020-06-16,Terminated
38,18,Catherine Kelly,Customer Support,HR,2638.2,2022-05-12,Terminated
39,13,Kevin Jones,Teller,Customer Service,1300.52,2017-04-27,Active
40,5,Donald Knight,Customer Support,Customer Service,2694.74,2024-02-20,Terminated
41,3,Morgan Bradford,Security Officer,HR,2252.8,2018-02-27,Active
42,5,Dr. Jeffrey Campbell,Auditor,Customer Service,2462.46,2023-07-17,Terminated
43,12,Tonya Goodman,Teller,HR,1211.42,2015-12-26,Active
44,18,Stacy Cortez,Teller,Customer Service,405.69,2025-04-08,Inactive
45,20,Michael Ayala,Clerk,Customer Service,2595.75,2024-11-25,Terminated
46,18,Kevin Pierce,Customer Support,Legal,2883.1,2019-08-02,Inactive
47,10,Lance Grant,Customer Support,Compliance,721.15,2021-05-06,Terminated
48,14,Laura Johns,Teller,IT,2980.13,2021-03-19,Terminated
49,14,Amy Levy,Clerk,HR,609.2,2016-01-09,Inactive
50,2,Martha Wells,Customer Support,HR,1015.25,2017-04-01,Active
51,20,Matthew Smith,Auditor,HR,2459.59,2021-08-24,Inactive
52,2,Alexander Clarke,Auditor,Operations,1601.94,2020-07-30,Terminated
53,14,Richard Roberson,Manager,Operations,721.15,2019-02-24,Inactive
54,10,Cindy Ramirez,Security Officer,Operations,2820.85,2023-08-17,Active
55,13,Keith Weiss,Teller,IT,1632.98,2023-08-17,Inactive
56,10,Joseph Taylor,Analyst,Operations,926.8,2023-08-18,Inactive
57,20,Kenneth Rogers,Auditor,Legal,307.16,2020-10-15,Active
58,1,Ashley Smith,Security Officer,Finance,2614.43,2017-08-30,Inactive
59,2,Brenda Johnson,Manager,Finance,851.28,2021-07-04,Inactive
60,18,David Gonzalez,Analyst,Customer Service,379.12,2020-12-22,Inactive
61,9,Gary Mitchell,Manager,Legal,1646.43,2020-05-26,Terminated
62,15,Julie Chung,Teller,Legal,2551.21,2019-03-31,Terminated
63,13,Louis Farrell,Analyst,Operations,864.79,2021-07-20,Active
64,20,Kyle Pierce,Teller,Finance,2521.96,2022-01-12,Active
65,2,Emily Bass,Analyst,Compliance,2291.42,2016-11-20,Active
66,18,David Mcgee,Manager,Legal,1247.09,2022-08-29,Terminated
67,17,Carlos Brady,Analyst,Legal,1100.2,2017-08-20,Active
68,15,Isaac Allen,Security Officer,Customer Service,1898.85,2024-07-14,Inactive
69,9,Hector Miller,Analyst,Compliance,2797.7,2021-07-03,Inactive
70,20,Ann Lopez,Manager,Legal,763.7,2024-03-05,Terminated
71,13,Elizabeth Hayes,Auditor,HR,1576.61,2018-01-11,Active
72,7,Nicholas Park,Security Officer,Finance,2730.47,2017-05-11,Active
73,7,Ann Pace,Auditor,Finance,2023.75,2017-06-26,Terminated
74,11,Christian Garcia,Clerk,HR,599.81,2016-11-13,Active
75,16,Jennifer Martin,Security Officer,Compliance,2357.12,2015-11-16,Inactive
76,10,Sherri Taylor,Manager,HR,2486.18,2024-11-06,Active
77,19,Nicole Luna,Manager,IT,1785.89,2020-12-30,Active
78,3,Rachel Davis,Customer Support,Compliance,1737.63,2020-06-13,Terminated
79,16,Tony Cook,Clerk,Finance,1045.19,2024-09-25,Active
80,2,Cody Reed,Teller,Compliance,2930.06,2024-11-30,Active
81,12,Michael Jones,Customer Support,IT,759.83,2024-01-02,Terminated
82,5,Jeffrey Vasquez,Analyst,HR,2416.92,2020-03-08,Inactive
83,1,Richard Mcdaniel,Analyst,IT,2725.16,2016-01-06,Terminated
84,7,Linda Hamilton,Analyst,Operations,792.39,2023-08-20,Terminated
85,12,Jonathon Smith,Security Officer,Operations,1901.52,2017-06-07,Active
86,15,Jaime Owens,Analyst,Legal,2224.46,2019-01-27,Terminated
87,17,Lauren Logan,Security Officer,Finance,2106.03,2019-07-14,Terminated
88,20,Eric Smith,Security Officer,Operations,1273.53,2020-03-09,Inactive
89,16,Daniel Hammond,Auditor,Legal,1696.17,2016-02-08,Terminated
90,2,Melanie Vazquez,Analyst,Finance,2932.52,2024-04-19,Inactive
91,13,Stephanie Jimenez MD,Security Officer,Operations,1647.21,2017-11-04,Inactive
92,19,Michelle Chandler,Manager,Operations,2752.75,2023-03-23,Inactive
